tourney_id,tourney_date,match_num,winner1_id,winner2_id,loser1_id,loser2_id,score,best_of,round
2000-301,20000110,300,101704,101097,101358,101543,7-5 6-4,3,F
2000-301,20000110,299,101704,101097,102562,101866,6-2 6-4,3,SF
2000-301,20000110,298,101358,101543,102664,101779,6-3 6-4,3,SF
2000-301,20000110,297,101704,101097,101342,102162,6-3 6-4,3,QF
2000-301,20000110,296,101358,101543,103483,102262,6-2 6-4,3,QF
2000-301,20000110,295,102562,101866,102057,102042,7-6 RET,3,QF
2000-301,20000110,294,102664,101779,101565,101904,3-6 6-4 7-6,3,QF
2000-301,20000110,293,101704,101097,101639,102430,6-4 6-3,3,R16
2000-301,20000110,292,101358,101543,102131,102854,6-3 7-6,3,R16
2000-301,20000110,291,102562,101866,102984,103264,6-2 4-6 6-3,3,R16
2000-301,20000110,290,101565,101904,102998,102795,6-4 6-3,3,R16
2000-301,20000110,289,102057,102042,103252,102092,6-4 3-6 7-6,3,R16
2000-301,20000110,288,101342,102162,102035,102536,6-4 6-1,3,R16
2000-301,20000110,287,102664,101779,102111,101602,6-7 6-3 6-4,3,R16
2000-301,20000110,286,103483,102262,102076,101660,7-6 4-6 7-5,3,R16
2000-306,20000522,300,102405,101983,102247,101717,7-6 6-7 6-4,3,F
2000-306,20000522,299,102405,101983,102998,102795,7-6 6-3,3,SF
2000-306,20000522,298,102247,101717,101937,101249,6-1 7-5,3,SF
2000-306,20000522,297,102405,101983,102057,101602,6-4 6-2,3,QF
2000-306,20000522,296,102998,102795,101761,101490,4-6 7-6 6-4,3,QF
2000-306,20000522,295,102247,101717,102388,102501,6-4 7-6,3,QF
2000-306,20000522,294,101937,101249,101341,101904,6-3 7-6,3,QF
2000-306,20000522,293,102405,101983,103017,102533,6-7 6-0 6-1,3,R16
2000-306,20000522,292,102388,102501,101682,101543,7-5 6-1,3,R16
2000-306,20000522,291,101341,101904,101507,101730,5-7 6-2 7-5,3,R16
2000-306,20000522,290,102998,102795,101366,101668,6-4 7-6,3,R16
2000-306,20000522,289,102057,101602,103182,102905,6-3 6-1,3,R16
