tourney_id,tourney_name,surface,draw_size,tourney_level
2010-M-FU-CHN-08A-2010,China F8,Hard,32,S
2011-D055,Davis Cup G1 R2: CHN vs AUS,Hard,4,D
1981-412,Atlanta,Hard,32,A
2010-M-FU-MEX-02A-2010,Mexico F2,Hard,32,S
1989-430,Wembley,Carpet,32,A
1977-560,US Open,Clay,128,G
2008-471,Geneva CH,Clay,32,C
2009-M-FU-MAR-02A-2009,Morocco F2,Clay,32,S
2010-M-FU-FRA-06A-2010,France F6,Clay,32,S
2008-416,Rome Masters,Clay,56,M
2013-M-FU-RUS-11A-2013,Russia F11,Clay,32,S
1987-432,Las Vegas CH,Hard,32,C
2017-7581,Chengdu,Hard,32,A
1997-M-SA-FRA-06A-1997c,France 6 Masters 3,Hard,32,S
2015-M-FU-TUR-03A-2015,Turkey F3,Hard,32,S
1998-M-FU-ITA-09A-1998,Italy F9,Clay,32,S
1990-D012,Davis Cup G2 QF: BAN vs TPE,Hard,4,D
2010-M-FU-SWE-01A-2010,Sweden F1,Hard,32,S
1999-M-SA-GRE-02A-1999a,Greece 2 Masters 1,Clay,24,S
2017-M-FU-RUS-04A-2017,Russia F4,Hard,32,S
2017-M-FU-ISR-02A-2017,Israel F2,Hard,32,S
2016-M-FU-ARG-06A-2016,Argentina F6,Clay,32,S
2002-M-SA-ITA-07A-2002a,Italy 7 1,Clay,24,S
1993-M-SA-PHI-01A-1993c,Philippines Masters 3,Hard,32,S
2012-M-FU-POR-03A-2012,Portugal F3,Hard,32,S
2004-D068,Davis Cup G2 PO: GEO vs EGY,Clay,4,D
2013-M-FU-EGY-17A-2013,Egypt F17,Clay,32,S
1985-605,Masters,Carpet,16,M
1990-D079,Davis Cup WG R1: TCH vs SUI,Carpet,4,D
2011-807,Acapulco,Clay,32,A
1996-M-SA-TUR-01A-1996c,Turkey 1 Masters 3,Hard,32,S
1987-401,Philadelphia,Carpet,48,A
2009-403,Miami Masters,Hard,96,M
1990-232,Thessaloniki CH,Hard,32,C
2020-9406,Cologne 2,Hard,32,A
2002-M-FU-GBR-01A-2002,Great Britain F1,Carpet,32,S
1997-M-SA-PER-01A-1997d,Ecuador Peru Masters 4,Clay,22,S
1995-M-SA-CHI-01A-1995c,Peru Bolivia Masters 3,Clay,32,S
1994-221,Tampere CH,Clay,32,C
2002-227,Ulm CH,Clay,32,C
1994-M-SA-ITA-02A-1994d,Italy 2 Masters 4,Clay,32,S
2017-M-FU-EGY-05A-2017,Egypt F5,Hard,32,S
2009-656,Calabasas CH,Hard,32,C
2016-M-FU-KAZ-02A-2016,Kazakhstan F2,Hard,32,S
1983-347,Bournemouth,Clay,32,A
2017-M-FU-TUR-24A-2017,Turkey F24,Clay,32,S
2001-M-SA-IND-02A-2001d,India 2 4,Hard,32,S
1980-605,Masters,Carpet,8,M
2014-D027,Davis Cup G2 R1: GUA vs MEX,,4,D
2014-M-FU-THA-06A-2014,Thailand F6,Hard,32,S
1996-M-SA-ITA-03A-1996c,Italy 3 Masters 3,Clay,32,S
2004-M-FU-TUN-06A-2004,Tunisia F6,Hard,32,S
2013-M-FU-POR-09A-2013,Portugal F9,Clay,32,S
1994-423,Los Angeles,Hard,32,A
2007-M-FU-BIH-04A-2007,Bosnia & Herzegovina F4,Clay,32,S
2018-0363,Knoxville CH,Hard,32,C
2005-M-FU-GBR-11A-2005,Great Britain F11,Hard,32,S
2006-M-FU-SLO-03A-2006,Slovenia F3,Clay,32,S
1991-D009,Davis Cup G2 SF: COL vs BAH,Clay,4,D
2014-M-FU-ALG-01A-2014,Algeria F1,Clay,32,S
1982-248,Brescia CH,Clay,32,C
2003-M-SA-ITA-05A-2003d,Italy 5 4,Clay,24,S
2013-D033,Davis Cup G2 R1: PHI vs SYR,Clay,4,D
2018-M-FU-FIN-01A-2018,Finland F1,Clay,32,S
2009-M-FU-CZE-03A-2009,Czech Rep F3,Clay,32,S
1997-M-SA-JPN-02A-1997c,Japan 2 Masters 3,Hard,32,S
1989-426,Johannesburg,Hard,32,A
1994-414,Hamburg Masters,Clay,56,M
1996-M-SA-BRA-05A-1996c,Brazil 5 Masters 3,Clay,24,S
1997-M-SA-HUN-01A-1997d,Hungary Masters 4,Clay,32,S
1991-M-SA-ESP-06A-1991c,Spain 6 Masters 3,Clay,32,S
2009-471,Geneva CH,Clay,32,C
1970-D019,Davis Cup AME F: CAN vs NZL,Clay,4,D
2006-568,St. Petersburg,Carpet,32,A
2006-M-SA-VEN-02A-2006c,Venezuela 2 3,Hard,32,S
2004-504,Wolfsburg CH,Carpet,32,C
2003-404,Indian Wells Masters,Hard,64,M
2020-M-ITF-GRE-13A-2020,M15 Heraklion,Hard,32,15
2013-M-FU-SRB-08A-2013,Serbia F8,Clay,32,S
2003-M-FU-KOR-02A-2003,Korea Rep F2,Clay,32,S
2019-9003,Bratislava CH,Clay,64,C
1992-M-SA-ESP-06A-1992a,Spain 6 Masters 1,Clay,32,S
2003-M-FU-ESP-16A-2003,Spain F16,Clay,32,S
2006-M-FU-MEX-15A-2006,Mexico F16,Hard,32,S
1981-D022,Davis Cup SAM F: CHI vs URU,Clay,4,D
2005-M-FU-INA-02A-2005,Indonesia F2,Hard,32,S
1992-M-SA-ROU-01A-1992d,Romania Masters 4,Clay,24,S
1996-M-SA-GBR-04A-1996a,Great Britain 4 Masters 1,Hard,32,S
1989-491,Croydon CH,Carpet,32,C
2000-D019,Davis Cup G1 PO: LIB vs CHN,Hard,4,D
2014-M-FU-CRO-12A-2014,Croatia F12,Clay,32,S
2011-M-FU-HUN-01A-2011,Hungary F1,Clay,32,S
2003-M-SA-CRO-01A-2003d,Croatia 1 4,Clay,32,S
2009-M-FU-GRE-03A-2009,Greece F3,Carpet,32,S
1974-329,Tokyo WCT,,32,A
2007-3504,Naples CH,Clay,32,C
2015-6307,Campinas CH,Clay,32,C
1981-D046,Davis Cup G2 QF: THA vs MAS,Hard,4,D
2012-M-FU-AUS-04A-2012,Australia F4,Clay,32,S
1997-453,Brest CH,Hard,32,C
2005-M-SA-EGY-01A-2005d,Egypt 1 4,Clay,32,S
2011-M-FU-AUS-12A-2011,Australia F12,Hard,32,S
1993-841,Fairfield CH,Hard,32,C
2006-M-FU-ITA-06A-2006,Italy F6,Clay,32,S
2002-M-FU-POL-05A-2002,Poland F5,Clay,32,S
1993-855,Bruck CH,Clay,32,C
2011-M-FU-IRL-01A-2011,Ireland F1,Carpet,32,S
2001-M-SA-IND-01A-2001d,India 1 4,Hard,32,S
2015-338,Sydney,Hard,28,A
1998-M-SA-JPN-01A-1998b,Japan 1 Masters 2,Hard,32,S
1982-D023,Davis Cup WG R1: NZL vs ESP,Grass,4,D
2000-M-SA-AUS-02A-2000c,Australia 2 3,Hard,32,S
2015-D071,Davis Cup G2 PO: PER vs BOL,Clay,4,D
2017-M-DC-2017-G2-AO-M-VIE-HKG-01,Davis Cup G2 R1: VIE vs HKG,,4,D
2002-D051,Davis Cup G2 PO: PHI vs KUW,Clay,4,D
2014-M-FU-FIN-03A-2014,Finland F3,Clay,32,S
2004-D015,Davis Cup WG F: ESP vs USA,Clay,4,D
2014-7013,Heilbronn II CH,Clay,32,C
2018-520,Roland Garros,Clay,128,G
1992-D059,Davis Cup G1 QF: KEN vs ROU,Clay,4,D
1991-M-SA-PAK-01A-1991d,Bangladesh Pakistan Masters 4,Grass,24,S
1993-M-SA-ESP-06A-1993c,Spain 6 Masters 3,Clay,32,S
1997-M-SA-ARG-02A-1997c,Argentina 2 Masters 3,Clay,24,S
2014-M-FU-CHI-11A-2014,Chile F11,Clay,32,S
1979-289,Royan CH,Clay,32,C
2013-M-FU-SRB-13A-2013,Serbia F13,Clay,32,S
2010-M-FU-MEX-08A-2010,Mexico F8,Clay,32,S
1994-M-SA-MEX-04A-1994d,Cuba Mexico Masters 4,Hard,32,S
2013-M-FU-ITA-14A-2013,Italy F14,Clay,32,S
2003-D062,Davis Cup G2 PO: POL vs MON,Clay,4,D
2009-M-FU-POL-05A-2009,Poland F5,Clay,32,S
2002-457,Milan1 CH,Carpet,32,C
1986-423,Los Angeles,Hard,32,A
2006-M-FU-CRC-01A-2006,Costa Rica F1,Hard,32,S
2006-M-FU-BRA-04A-2006,Brazil F4,Clay,32,S
2007-363,Knoxville CH,Hard,32,C
1978-D041,Davis Cup EUR PR: MAR vs YUG,,4,D
1996-783,Segovia CH,Hard,32,C
1991-M-SA-ITA-04A-1990d,Italy 1 Masters 4,Carpet,24,S
2010-M-FU-ESP-20A-2010,Spain F20,Carpet,32,S
1995-M-SA-ANT-01A-1995b,Caribbean 2 Masters 2,Hard,24,S
2018-M-FU-HUN-06A-2018,Hungary F6,Clay,32,S
2011-M-FU-SRB-10A-2011,Serbia F10,Clay,32,S
1997-M-SA-MAS-01A-1997a,Malaysia 1 Masters 1,Hard,24,S
1997-M-SA-ISR-02A-1997c,Israel 2 Masters 3,Hard,32,S
